Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-05-17 00:00:00+00:00,103495.78125,103495.78125,103495.78125,103495.78125,0
2025-05-17 00:01:00+00:00,103479.3671875,103479.3671875,103479.3671875,103479.3671875,0
2025-05-17 00:02:00+00:00,103458.6171875,103458.6171875,103458.6171875,103458.6171875,0
2025-05-17 00:03:00+00:00,103460.4140625,103460.4140625,103460.4140625,103460.4140625,0
2025-05-17 00:04:00+00:00,103463.453125,103463.453125,103463.453125,103463.453125,834117632
2025-05-17 00:05:00+00:00,103484.453125,103484.453125,103484.453125,103484.453125,24133632
2025-05-17 00:06:00+00:00,103458.59375,103458.59375,103458.59375,103458.59375,0
2025-05-17 00:07:00+00:00,103500.7734375,103500.7734375,103500.7734375,103500.7734375,9146368
2025-05-17 00:08:00+00:00,103510.5,103510.5,103510.5,103510.5,13033472
2025-05-17 00:09:00+00:00,103520.1171875,103520.1171875,103520.1171875,103520.1171875,0
2025-05-17 00:10:00+00:00,103525.4921875,103525.4921875,103525.4921875,103525.4921875,82083840
2025-05-17 00:12:00+00:00,103467.015625,103467.015625,103467.015625,103467.015625,0
2025-05-17 00:13:00+00:00,103491.9921875,103491.9921875,103491.9921875,103491.9921875,148508672
2025-05-17 00:14:00+00:00,103559.625,103559.625,103559.625,103559.625,0
2025-05-17 00:15:00+00:00,103557.0390625,103557.0390625,103557.0390625,103557.0390625,905248768
2025-05-17 00:16:00+00:00,103461.015625,103461.015625,103461.015625,103461.015625,59740160
2025-05-17 00:17:00+00:00,103484.3984375,103484.3984375,103484.3984375,103484.3984375,7270400
2025-05-17 00:18:00+00:00,103481.5390625,103481.5390625,103481.5390625,103481.5390625,0
2025-05-17 00:19:00+00:00,103469.3125,103469.3125,103469.3125,103469.3125,160972800
2025-05-17 00:20:00+00:00,103428.703125,103428.703125,103428.703125,103428.703125,23773184
2025-05-17 00:21:00+00:00,103414.046875,103414.046875,103414.046875,103414.046875,11808768
2025-05-17 00:22:00+00:00,103413.8046875,103413.8046875,103413.8046875,103413.8046875,0
2025-05-17 00:23:00+00:00,103424.375,103424.375,103424.375,103424.375,8601600
2025-05-17 00:24:00+00:00,103421.1015625,103421.1015625,103421.1015625,103421.1015625,29986816
2025-05-17 00:25:00+00:00,103431.625,103431.625,103431.625,103431.625,792518656
2025-05-17 00:26:00+00:00,103416.8671875,103416.8671875,103416.8671875,103416.8671875,2555904
